Posición,Título,Año,Duración,Rating
191, El gran hotel Budapest,,,"8,1
 (946 mil)"
192, 12 años de esclavitud,,,"8,1
 (775 mil)"
193, Antes de amanecer,,,"8,1
 (368 mil)"
194, Blade Runner,,,"8,1
 (868 mil)"
195, Spider-Man: No Way Home,,,"8,2
 (985 mil)"
196, Memories of Murder (Crónica de un asesino en serie),,,"8,1
 (254 mil)"
197, Ratatouille,,,"8,1
 (913 mil)"
198, Cómo entrenar a tu dragón,,,"8,1
 (872 mil)"
199, Perdida,,,"8,1
 (1,1 M)"
200," Monstruos, S.A.",,,"8,1
 (1,1 M)"
201, Tiburón,,,"8,1
 (721 mil)"
202, En el nombre del padre,,,"8,1
 (200 mil)"
203, Le Mans '66,,,"8,1
 (548 mil)"
204, Relatos salvajes,,,"8,1
 (234 mil)"
205, La quimera del oro,,,"8,1
 (126 mil)"
206, El moderno Sherlock Holmes,,,"8,1
 (64 mil)"
207, Mary and Max,,,"8,1
 (199 mil)"
208, El cazador,,,"8,1
 (381 mil)"
209, El salario del miedo,,,"8,1
 (72 mil)"
210, El maquinista de La General,,,"8,1
 (104 mil)"
211, Logan,,,"8,1
 (908 mil)"
212, Caballero sin espada,,,"8,1
 (128 mil)"
213, La ley del silencio,,,"8,1
 (175 mil)"
214, Rocky,,,"8,1
 (674 mil)"
215, Fresas salvajes,,,"8,1
 (123 mil)"
216, Cuentos de Tokio,,,"8,1
 (76 mil)"
217, Piratas del Caribe: La maldición de la Perla Negra,,,"8,1
 (1,3 M)"
218, El tercer hombre,,,"8,1
 (192 mil)"
219, Spotlight,,,"8,1
 (527 mil)"
220, Maharaja,,,"8,3
 (76 mil)"
221, Terminator,,,"8,1
 (983 mil)"
222, El odio,,,"8,1
 (219 mil)"
223, El gran Lebowski,,,"8,1
 (904 mil)"
224, Jai Bhim,,,"8,6
 (231 mil)"
225, El séptimo sello,,,"8,1
 (213 mil)"
226, La habitación,,,"8,1
 (474 mil)"
227, Sonrisas y lágrimas,,,"8,1
 (284 mil)"
228, Hotel Rwanda,,,"8,1
 (388 mil)"
229, Los mejores años de nuestra vida,,,"8,1
 (76 mil)"
230, Platoon,,,"8,1
 (464 mil)"
231, Antes del atardecer,,,"8,1
 (308 mil)"
232, A Silent Voice,,,"8,2
 (131 mil)"
233, Los Increíbles,,,"8,0
 (878 mil)"
234, El exorcista,,,"8,1
 (489 mil)"
